id,text
sym_10,"TYPE: SYMPTOM_DISEASE
DISEASE: AIDS
SYMPTOMS: muscle wasting, patches in throat, high fever, extra marital contacts
SYMPTOM_SYNONYMS: muscle wasting related discomfort, mild muscle wasting, severe muscle wasting, muscle wasting sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing muscle wasting? | Is the muscle wasting getting worse over time? | Have you taken any medication for muscle wasting? | Do you have any other symptoms along with muscle wasting?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of AIDS persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_11,"TYPE: SYMPTOM_DISEASE
DISEASE: Tuberculosis
SYMPTOMS: chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum
SYMPTOM_SYNONYMS: chills related discomfort, mild chills, severe chills, chills sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing chills? | Is the chills getting worse over time? | Have you taken any medication for chills? | Do you have any other symptoms along with chills?
SEVERITY_LEVEL: High
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Tuberculosis persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_12,"TYPE: SYMPTOM_DISEASE
DISEASE: Hepatitis A
SYMPTOMS: joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain
SYMPTOM_SYNONYMS: joint pain related discomfort, mild joint pain, severe joint pain, joint pain sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing joint pain? | Is the joint pain getting worse over time? | Have you taken any medication for joint pain? | Do you have any other symptoms along with joint pain?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hepatitis A persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_13,"TYPE: SYMPTOM_DISEASE
DISEASE: Hypoglycemia
SYMPTOMS: vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations
SYMPTOM_SYNONYMS: throwing up, emesis, nausea with expulsion, retching
FOLLOW_UP_QUESTIONS: How long have you been experiencing vomiting? | Is the vomiting getting worse over time? | Have you taken any medication for vomiting? | Do you have any other symptoms along with vomiting?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hypoglycemia persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_14,"TYPE: SYMPTOM_DISEASE
DISEASE: Hepatitis B
SYMPTOMS: itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections
SYMPTOM_SYNONYMS: itching related discomfort, mild itching, severe itching, itching sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing itching? | Is the itching getting worse over time? | Have you taken any medication for itching? | Do you have any other symptoms along with itching?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hepatitis B persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_15,"TYPE: SYMPTOM_DISEASE
DISEASE: Osteoarthritis
SYMPTOMS: joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking
SYMPTOM_SYNONYMS: joint pain related discomfort, mild joint pain, severe joint pain, joint pain sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing joint pain? | Is the joint pain getting worse over time? | Have you taken any medication for joint pain? | Do you have any other symptoms along with joint pain?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Osteoarthritis persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_16,"TYPE: SYMPTOM_DISEASE
DISEASE: Heart Attack
SYMPTOMS: vomiting, sweating, chest pain
SYMPTOM_SYNONYMS: throwing up, emesis, nausea with expulsion, retching
FOLLOW_UP_QUESTIONS: How long have you been experiencing vomiting? | Is the vomiting getting worse over time? | Have you taken any medication for vomiting? | Do you have any other symptoms along with vomiting?
SEVERITY_LEVEL: High
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Heart Attack persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_17,"TYPE: SYMPTOM_DISEASE
DISEASE: Heart Attack
SYMPTOMS: vomiting, breathlessness, chest pain
SYMPTOM_SYNONYMS: throwing up, emesis, nausea with expulsion, retching
FOLLOW_UP_QUESTIONS: How long have you been experiencing vomiting? | Is the vomiting getting worse over time? | Have you taken any medication for vomiting? | Do you have any other symptoms along with vomiting?
SEVERITY_LEVEL: High
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Heart Attack persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_18,"TYPE: SYMPTOM_DISEASE
DISEASE: Bronchial Asthma
SYMPTOMS: fatigue, cough, high fever, breathlessness, family history, mucoid sputum
SYMPTOM_SYNONYMS: tiredness, low energy, exhaustion, lethargy
FOLLOW_UP_QUESTIONS: How long have you been experiencing fatigue? | Is the fatigue getting worse over time? | Have you taken any medication for fatigue? | Do you have any other symptoms along with fatigue?
SEVERITY_LEVEL: High
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Bronchial Asthma persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_19,"TYPE: SYMPTOM_DISEASE
DISEASE: Pneumonia
SYMPTOMS: cough, high fever, breathlessness, chest pain, mucoid sputum, rusty sputum, blister
SYMPTOM_SYNONYMS: high_fever, cough, breathlessness, chest_pain, rusty_sputum
FOLLOW_UP_QUESTIONS: Duration? Breathing difficulty? Recent infection exposure?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult physician if symptoms worsen."
sym_20,"TYPE: SYMPTOM_DISEASE
DISEASE: Hepatitis B
SYMPTOMS: itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections
SYMPTOM_SYNONYMS: itching related discomfort, mild itching, severe itching, itching sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing itching? | Is the itching getting worse over time? | Have you taken any medication for itching? | Do you have any other symptoms along with itching?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hepatitis B persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_21,"TYPE: SYMPTOM_DISEASE
DISEASE: Impetigo
SYMPTOMS: skin rash, high fever, red sore around nose, yellow crust ooze
SYMPTOM_SYNONYMS: skin rash related discomfort, mild skin rash, severe skin rash, skin rash sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing skin rash? | Is the skin rash getting worse over time? | Have you taken any medication for skin rash? | Do you have any other symptoms along with skin rash?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Impetigo persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_22,"TYPE: SYMPTOM_DISEASE
DISEASE: Cervical Spondylosis
SYMPTOMS: back pain, weakness in limbs, neck pain, dizziness, loss of balance
SYMPTOM_SYNONYMS: back pain related discomfort, mild back pain, severe back pain, back pain sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing back pain? | Is the back pain getting worse over time? | Have you taken any medication for back pain? | Do you have any other symptoms along with back pain?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Cervical Spondylosis persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_23,"TYPE: SYMPTOM_DISEASE
DISEASE: Hypertension
SYMPTOMS: headache, chest pain, dizziness, loss of balance, lack of concentration
SYMPTOM_SYNONYMS: head pain, migraine-like pain, pressure in head, skull ache
FOLLOW_UP_QUESTIONS: How long have you been experiencing headache? | Is the headache getting worse over time? | Have you taken any medication for headache? | Do you have any other symptoms along with headache?
SEVERITY_LEVEL: High
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hypertension  persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_24,"TYPE: SYMPTOM_DISEASE
DISEASE: Acne
SYMPTOMS: skin rash, pus filled pimples, blackheads, scurring
SYMPTOM_SYNONYMS: skin rash related discomfort, mild skin rash, severe skin rash, skin rash sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing skin rash? | Is the skin rash getting worse over time? | Have you taken any medication for skin rash? | Do you have any other symptoms along with skin rash?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Acne persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_25,"TYPE: SYMPTOM_DISEASE
DISEASE: Fungal Infection
SYMPTOMS: itching, nodal skin eruptions, dischromic  patches
SYMPTOM_SYNONYMS: itching related discomfort, mild itching, severe itching, itching sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing itching? | Is the itching getting worse over time? | Have you taken any medication for itching? | Do you have any other symptoms along with itching?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Fungal Infection persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_26,"TYPE: SYMPTOM_DISEASE
DISEASE: Malaria
SYMPTOMS: chills, vomiting, high fever, headache, nausea, diarrhoea, muscle pain
SYMPTOM_SYNONYMS: chills related discomfort, mild chills, severe chills, chills sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing chills? | Is the chills getting worse over time? | Have you taken any medication for chills? | Do you have any other symptoms along with chills?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Malaria persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_27,"TYPE: SYMPTOM_DISEASE
DISEASE: Allergy
SYMPTOMS: continuous sneezing, shivering, watering from eyes
SYMPTOM_SYNONYMS: continuous sneezing related discomfort, mild continuous sneezing, severe continuous sneezing, continuous sneezing sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing continuous sneezing? | Is the continuous sneezing getting worse over time? | Have you taken any medication for continuous sneezing? | Do you have any other symptoms along with continuous sneezing?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Allergy persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_28,"TYPE: SYMPTOM_DISEASE
DISEASE: Cervical Spondylosis
SYMPTOMS: back pain, neck pain, dizziness, loss of balance
SYMPTOM_SYNONYMS: back pain related discomfort, mild back pain, severe back pain, back pain sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing back pain? | Is the back pain getting worse over time? | Have you taken any medication for back pain? | Do you have any other symptoms along with back pain?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Cervical Spondylosis persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_29,"TYPE: SYMPTOM_DISEASE
DISEASE: Chickenpox
SYMPTOMS: itching, skin rash, fatigue, lethargy, high fever, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body
SYMPTOM_SYNONYMS: itching related discomfort, mild itching, severe itching, itching sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing itching? | Is the itching getting worse over time? | Have you taken any medication for itching? | Do you have any other symptoms along with itching?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Chickenpox persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_30,"TYPE: SYMPTOM_DISEASE
DISEASE: Peptic Ulcer Disease
SYMPTOMS: vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching
SYMPTOM_SYNONYMS: throwing up, emesis, nausea with expulsion, retching
FOLLOW_UP_QUESTIONS: How long have you been experiencing vomiting? | Is the vomiting getting worse over time? | Have you taken any medication for vomiting? | Do you have any other symptoms along with vomiting?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Peptic Ulcer Disease persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_31,"TYPE: SYMPTOM_DISEASE
DISEASE: Typhoid
SYMPTOMS: chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, toxic look (typhos), belly pain
SYMPTOM_SYNONYMS: chills related discomfort, mild chills, severe chills, chills sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing chills? | Is the chills getting worse over time? | Have you taken any medication for chills? | Do you have any other symptoms along with chills?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Typhoid persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_32,"TYPE: SYMPTOM_DISEASE
DISEASE: Bronchitis
SYMPTOMS: cough, breathlessness, mild fever, swelled lymph nodes, phlegm, chest pain, irritability
SYMPTOM_SYNONYMS: cough, phlegm, breathlessness, chest_pain, mild_fever
FOLLOW_UP_QUESTIONS: Duration? Breathing difficulty? Recent infection exposure?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult physician if symptoms worsen."
sym_33,"TYPE: SYMPTOM_DISEASE
DISEASE: Dengue
SYMPTOMS: skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body
SYMPTOM_SYNONYMS: skin rash related discomfort, mild skin rash, severe skin rash, skin rash sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing skin rash? | Is the skin rash getting worse over time? | Have you taken any medication for skin rash? | Do you have any other symptoms along with skin rash?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Dengue persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_34,"TYPE: SYMPTOM_DISEASE
DISEASE: Hypothyroidism
SYMPTOMS: fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation
SYMPTOM_SYNONYMS: tiredness, low energy, exhaustion, lethargy
FOLLOW_UP_QUESTIONS: How long have you been experiencing fatigue? | Is the fatigue getting worse over time? | Have you taken any medication for fatigue? | Do you have any other symptoms along with fatigue?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hypothyroidism persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_35,"TYPE: SYMPTOM_DISEASE
DISEASE: Diabetes
SYMPTOMS: fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria
SYMPTOM_SYNONYMS: tiredness, low energy, exhaustion, lethargy
FOLLOW_UP_QUESTIONS: How long have you been experiencing fatigue? | Is the fatigue getting worse over time? | Have you taken any medication for fatigue? | Do you have any other symptoms along with fatigue?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Diabetes  persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_36,"TYPE: SYMPTOM_DISEASE
DISEASE: Common Cold
SYMPTOMS: continuous sneezing, mild fever, throat irritation, runny nose, congestion, cramps, loss of balance
SYMPTOM_SYNONYMS: continuous_sneezing, runny_nose, congestion, throat_irritation, mild_fever
FOLLOW_UP_QUESTIONS: Duration? Breathing difficulty? Recent infection exposure?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult physician if symptoms worsen."
sym_37,"TYPE: SYMPTOM_DISEASE
DISEASE: Dimorphic Hemmorhoids (piles)
SYMPTOMS: constipation, pain during bowel movements, pain in anal region, irritation in anus
SYMPTOM_SYNONYMS: constipation related discomfort, mild constipation, severe constipation, constipation sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing constipation? | Is the constipation getting worse over time? | Have you taken any medication for constipation? | Do you have any other symptoms along with constipation?
SEVERITY_LEVEL: Low
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Dimorphic Hemmorhoids (piles) persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_38,"TYPE: SYMPTOM_DISEASE
DISEASE: Vertigo
SYMPTOMS: vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness
SYMPTOM_SYNONYMS: throwing up, emesis, nausea with expulsion, retching
FOLLOW_UP_QUESTIONS: How long have you been experiencing vomiting? | Is the vomiting getting worse over time? | Have you taken any medication for vomiting? | Do you have any other symptoms along with vomiting?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Vertigo persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_39,"TYPE: SYMPTOM_DISEASE
DISEASE: Diabetes
SYMPTOMS: fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria
SYMPTOM_SYNONYMS: tiredness, low energy, exhaustion, lethargy
FOLLOW_UP_QUESTIONS: How long have you been experiencing fatigue? | Is the fatigue getting worse over time? | Have you taken any medication for fatigue? | Do you have any other symptoms along with fatigue?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Diabetes  persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_40,"TYPE: SYMPTOM_DISEASE
DISEASE: Hepatitis E
SYMPTOMS: joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding
SYMPTOM_SYNONYMS: joint pain related discomfort, mild joint pain, severe joint pain, joint pain sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing joint pain? | Is the joint pain getting worse over time? | Have you taken any medication for joint pain? | Do you have any other symptoms along with joint pain?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hepatitis E persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_41,"TYPE: SYMPTOM_DISEASE
DISEASE: Hypothyroidism
SYMPTOMS: weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation
SYMPTOM_SYNONYMS: weight gain related discomfort, mild weight gain, severe weight gain, weight gain sensation
FOLLOW_UP_QUESTIONS: How long have you been experiencing weight gain? | Is the weight gain getting worse over time? | Have you taken any medication for weight gain? | Do you have any other symptoms along with weight gain?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult a qualified doctor if symptoms of Hypothyroidism persist beyond 48 hours. Maintain hydration and proper rest. Avoid self-medication unless prescribed by a professional. Seek emergency care if symptoms suddenly worsen or new severe symptoms appear."
sym_42,"TYPE: SYMPTOM_DISEASE
DISEASE: COVID-19
SYMPTOMS: fatigue, cough, high fever, breathlessness, headache, excessive hunger, loss of smell, muscle pain
SYMPTOM_SYNONYMS: high_fever, cough, fatigue, breathlessness, loss_of_smell, headache
FOLLOW_UP_QUESTIONS: Duration? Breathing difficulty? Recent infection exposure?
SEVERITY_LEVEL: Medium
RECOMMENDED_ACTION: Consult physician if symptoms worsen."
