source,input_text,output_text,normalized_input,structured_text
gretelai/symptom_to_diagnosis,"I've been feeling really sick lately. I've been getting chills and I'm always tired. I have this cough that just won't go away. It's really hard to breathe when I cough and my chest hurts. I've also been coughing up this really gross, rusty phlegm.",pneumonia,i ve been feeling really sick lately i ve been getting chills and i m always tired i have this cough that just won t go away it s really hard to breathe when i cough and my chest hurts i ve also been coughing up this really gross rusty phlegm,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been feeling really sick lately. I've been getting chills and I'm always tired. I have this cough that just won't go away. It's really hard to breathe when I cough and my chest hurts. I've also been coughing up this really gross, rusty phlegm.
POSSIBLE_CONDITION: pneumonia
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I've noticed that my skin is more sensitive now than it used to be. It's red and itchy. I have silvery scales on my back and elbows.,psoriasis,i ve noticed that my skin is more sensitive now than it used to be it s red and itchy i have silvery scales on my back and elbows,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've noticed that my skin is more sensitive now than it used to be. It's red and itchy. I have silvery scales on my back and elbows.
POSSIBLE_CONDITION: psoriasis
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I've been having chest pains, headaches, and I've been feeling dizzy.",hypertension,i ve been having chest pains headaches and i ve been feeling dizzy,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been having chest pains, headaches, and I've been feeling dizzy.
POSSIBLE_CONDITION: hypertension
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have a rash on my face and neck. It's red and blistery. I'm worried about it.,impetigo,i have a rash on my face and neck it s red and blistery i m worried about it,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a rash on my face and neck. It's red and blistery. I'm worried about it.
POSSIBLE_CONDITION: impetigo
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I'm shaking and trembling all over. I've lost my sense of taste and smell, and I'm exhausted. I occasionally get palpitations or a racing heart.",diabetes,i m shaking and trembling all over i ve lost my sense of taste and smell and i m exhausted i occasionally get palpitations or a racing heart,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I'm shaking and trembling all over. I've lost my sense of taste and smell, and I'm exhausted. I occasionally get palpitations or a racing heart.
POSSIBLE_CONDITION: diabetes
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I'm having trouble breathing and have a fever. I'm sweating a lot and feel really tired and cold. My heart is racing and I'm coughing up some brown mucus.,pneumonia,i m having trouble breathing and have a fever i m sweating a lot and feel really tired and cold my heart is racing and i m coughing up some brown mucus,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I'm having trouble breathing and have a fever. I'm sweating a lot and feel really tired and cold. My heart is racing and I'm coughing up some brown mucus.
POSSIBLE_CONDITION: pneumonia
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have been experiencing severe joint pain and I am unable to move. I have also lost my appetite and feel weak.,dengue,i have been experiencing severe joint pain and i am unable to move i have also lost my appetite and feel weak,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been experiencing severe joint pain and I am unable to move. I have also lost my appetite and feel weak.
POSSIBLE_CONDITION: dengue
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I've been feeling really thirsty and hungry lately. I also get really tired sometimes.,diabetes,i ve been feeling really thirsty and hungry lately i also get really tired sometimes,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been feeling really thirsty and hungry lately. I also get really tired sometimes.
POSSIBLE_CONDITION: diabetes
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I've been having trouble breathing, coughing, and feeling exhausted. I've been coughing up a lot of thick, mucusy stuff and have a fever. I'm just feeling really drained and tired.",bronchial asthma,i ve been having trouble breathing coughing and feeling exhausted i ve been coughing up a lot of thick mucusy stuff and have a fever i m just feeling really drained and tired,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been having trouble breathing, coughing, and feeling exhausted. I've been coughing up a lot of thick, mucusy stuff and have a fever. I'm just feeling really drained and tired.
POSSIBLE_CONDITION: bronchial asthma
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have a fever, vomiting, chills, and severe itching. I've also been sweating a lot and have a headache. I've also been feeling nauseous and my muscles ache.",malaria,i have a fever vomiting chills and severe itching i ve also been sweating a lot and have a headache i ve also been feeling nauseous and my muscles ache,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a fever, vomiting, chills, and severe itching. I've also been sweating a lot and have a headache. I've also been feeling nauseous and my muscles ache.
POSSIBLE_CONDITION: malaria
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have been experiencing headaches, blurred and distorted vision, excessive hunger, a stiff neck, depression, irritability, and visual disturbance.",migraine,i have been experiencing headaches blurred and distorted vision excessive hunger a stiff neck depression irritability and visual disturbance,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been experiencing headaches, blurred and distorted vision, excessive hunger, a stiff neck, depression, irritability, and visual disturbance.
POSSIBLE_CONDITION: migraine
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I've been coughing and sneezing for days. My nose is stuffy, and my face hurts. I've been coughing up phlegm, and it hurts in my chest. I can't smell anything, and my muscles hurt.",common cold,i ve been coughing and sneezing for days my nose is stuffy and my face hurts i ve been coughing up phlegm and it hurts in my chest i can t smell anything and my muscles hurt,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been coughing and sneezing for days. My nose is stuffy, and my face hurts. I've been coughing up phlegm, and it hurts in my chest. I can't smell anything, and my muscles hurt.
POSSIBLE_CONDITION: common cold
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I've noticed a change in my monthly cycle and an unexpected vaginal discharge. I get irritable every now and again, and my moods swing a lot.",drug reaction,i ve noticed a change in my monthly cycle and an unexpected vaginal discharge i get irritable every now and again and my moods swing a lot,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've noticed a change in my monthly cycle and an unexpected vaginal discharge. I get irritable every now and again, and my moods swing a lot.
POSSIBLE_CONDITION: drug reaction
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I've been feeling really itchy all over, and I've been throwing up. I've also lost a lot of weight, and I'm always tired. My skin and my pee are both yellow, and my stomach hurts.",jaundice,i ve been feeling really itchy all over and i ve been throwing up i ve also lost a lot of weight and i m always tired my skin and my pee are both yellow and my stomach hurts,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been feeling really itchy all over, and I've been throwing up. I've also lost a lot of weight, and I'm always tired. My skin and my pee are both yellow, and my stomach hurts.
POSSIBLE_CONDITION: jaundice
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have stomach cramps, nausea and diarrhea. My throat is swollen, and I have difficulty breathing. Sometimes at night I get chest pain and nauseous.",allergy,i have stomach cramps nausea and diarrhea my throat is swollen and i have difficulty breathing sometimes at night i get chest pain and nauseous,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have stomach cramps, nausea and diarrhea. My throat is swollen, and I have difficulty breathing. Sometimes at night I get chest pain and nauseous.
POSSIBLE_CONDITION: allergy
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I've been having trouble sleeping because of the rash. It's itchy and painful. I've also noticed that my nails have little dents in them, which is really alarming. And my joints are sore every day, and I don't know why.",psoriasis,i ve been having trouble sleeping because of the rash it s itchy and painful i ve also noticed that my nails have little dents in them which is really alarming and my joints are sore every day and i don t know why,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been having trouble sleeping because of the rash. It's itchy and painful. I've also noticed that my nails have little dents in them, which is really alarming. And my joints are sore every day, and I don't know why.
POSSIBLE_CONDITION: psoriasis
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I've been having a fever for a few days and I have sores around my nose and rashes on my body. The sores are really bad and I'm feeling really sick.,impetigo,i ve been having a fever for a few days and i have sores around my nose and rashes on my body the sores are really bad and i m feeling really sick,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been having a fever for a few days and I have sores around my nose and rashes on my body. The sores are really bad and I'm feeling really sick.
POSSIBLE_CONDITION: impetigo
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have red spots on my arms and legs that are really itchy. I can't sleep at night because of the itching. I also have a headache and a fever.,chicken pox,i have red spots on my arms and legs that are really itchy i can t sleep at night because of the itching i also have a headache and a fever,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have red spots on my arms and legs that are really itchy. I can't sleep at night because of the itching. I also have a headache and a fever.
POSSIBLE_CONDITION: chicken pox
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I've been feeling very thirsty lately, and I've been getting hungry more often. I've also been feeling very tired.",diabetes,i ve been feeling very thirsty lately and i ve been getting hungry more often i ve also been feeling very tired,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I've been feeling very thirsty lately, and I've been getting hungry more often. I've also been feeling very tired.
POSSIBLE_CONDITION: diabetes
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have been having frequent headaches and blurred vision.,migraine,i have been having frequent headaches and blurred vision,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been having frequent headaches and blurred vision.
POSSIBLE_CONDITION: migraine
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have a sour taste in my mouth, even when I haven't eaten anything acidic. I also get hiccups and a feeling of a lump in my throat.",gastroesophageal reflux disease,i have a sour taste in my mouth even when i haven t eaten anything acidic i also get hiccups and a feeling of a lump in my throat,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a sour taste in my mouth, even when I haven't eaten anything acidic. I also get hiccups and a feeling of a lump in my throat.
POSSIBLE_CONDITION: gastroesophageal reflux disease
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have been having frequent headaches that are so bad that they make me throw up. I also have blurred vision, a sore neck, and anxiety.",migraine,i have been having frequent headaches that are so bad that they make me throw up i also have blurred vision a sore neck and anxiety,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have been having frequent headaches that are so bad that they make me throw up. I also have blurred vision, a sore neck, and anxiety.
POSSIBLE_CONDITION: migraine
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have a pain in my lower abdomen and I feel like I have to pee all the time. When I do pee, it burns and I feel like I'm not getting everything out. I've also been feeling really cold and weak.",urinary tract infection,i have a pain in my lower abdomen and i feel like i have to pee all the time when i do pee it burns and i feel like i m not getting everything out i ve also been feeling really cold and weak,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a pain in my lower abdomen and I feel like I have to pee all the time. When I do pee, it burns and I feel like I'm not getting everything out. I've also been feeling really cold and weak.
POSSIBLE_CONDITION: urinary tract infection
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,I have a rash all over my body. It's really itchy and uncomfortable. I'm also feeling really tired and exhausted.,chicken pox,i have a rash all over my body it s really itchy and uncomfortable i m also feeling really tired and exhausted,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a rash all over my body. It's really itchy and uncomfortable. I'm also feeling really tired and exhausted.
POSSIBLE_CONDITION: chicken pox
SOURCE: gretelai/symptom_to_diagnosis"
gretelai/symptom_to_diagnosis,"I have a sour taste in my mouth all the time, even when I haven't eaten anything acidic. I also get hiccups and a lump in my throat a lot.",gastroesophageal reflux disease,i have a sour taste in my mouth all the time even when i haven t eaten anything acidic i also get hiccups and a lump in my throat a lot,"TYPE: SYMPTOM_NL
PATIENT_DESCRIPTION: I have a sour taste in my mouth all the time, even when I haven't eaten anything acidic. I also get hiccups and a lump in my throat a lot.
POSSIBLE_CONDITION: gastroesophageal reflux disease
SOURCE: gretelai/symptom_to_diagnosis"
